,k,iteration,H,converged,R1,R2,R3,R4
129,7,6450,7.987907,,-0.043706447,0.35685235,-0.08943224,0.47821197
130,7,6500,7.9922185,,-0.033963874,0.3772601,-0.08107519,0.58918095
131,7,6550,7.3879633,,-0.041977886,0.32249528,-0.10485268,0.4671944
132,7,6600,8.006796,,-0.012209781,0.3844099,-0.03349161,0.6263914
133,7,6650,7.98712,,0.06665388,0.3487457,0.005194187,0.29673955
134,7,6700,8.061221,,-0.06972168,0.44881433,-0.0043148994,0.614141
135,7,6750,7.930341,,0.12791574,0.43808013,-0.08717871,0.49189183
136,7,6800,7.860876,,0.008350294,0.3391627,-0.06901026,0.33043632
137,7,6850,7.934036,,0.07819722,0.364824,0.039463997,0.36149368
138,7,6900,7.9201756,,-0.07988186,0.34902018,-0.005344391,0.33105043
139,7,6950,8.079275,,0.08693964,0.4501493,-0.0915122,0.3431749
140,7,7000,8.017749,0,0.07372275,0.40689158,-0.033064842,0.4025376
141,8,7050,7.7767787,,-0.015920406,0.23958606,0.06937027,0.23570088
142,8,7100,7.4265676,,0.085089214,0.36965978,-0.1187706,0.18099979
143,8,7150,7.7494774,,-0.10454468,0.28802186,-0.022294044,0.3563778
144,8,7200,7.7785835,,-0.15843838,0.27119678,-0.019352913,0.17250499
145,8,7250,7.838425,,0.121287525,0.3176998,-0.07652712,0.31905112
146,8,7300,7.752842,,-0.06973614,0.27720267,0.042253494,0.25080237
147,8,7350,7.6637444,,-0.07289796,0.18850324,-0.06874466,0.50428927
148,8,7400,7.6511316,,-0.031588368,0.19520438,-0.040338516,0.12155321
149,8,7450,7.735128,,-0.11516235,0.33457506,-0.12028265,0.17788163
150,8,7500,7.7698665,,-0.11310271,0.3176059,-0.109167576,0.23352405
151,8,7550,7.609379,,0.028655231,0.25319004,0.056883812,0.32057986
152,8,7600,7.765594,,0.007821694,0.20753616,-0.116820335,0.34087595
153,8,7650,7.6427755,,-0.13050942,0.28159046,-0.11721277,0.4180825
154,8,7700,7.703618,,0.013431145,0.25316185,-0.09348297,0.3832287
155,8,7750,7.4936385,,0.0338301,0.20442522,-0.036354065,0.09808648
156,8,7800,7.6264763,,-0.00027143364,0.22082233,-0.040059566,0.27783403
157,8,7850,7.9349084,,-0.037448436,0.28904295,-0.107133865,0.56819737
158,8,7900,7.7817545,,-0.028239781,0.23929343,-0.020453453,0.21136388
159,8,7950,7.7722316,,-0.034695838,0.2672935,0.053050518,0.35040268
160,8,8000,7.8030205,0,-0.0037529897,0.29243952,0.061098576,0.29551652
161,9,8050,6.8783903,,-0.15252046,0.08993417,0.010086536,0.09226805
162,9,8100,7.2657948,,0.014031986,0.046036452,0.011724949,0.029906511
163,9,8150,7.4305906,,-0.02722644,0.1094825,-0.032808304,0.06423557
164,9,8200,7.4286776,,-0.050353125,0.1274736,-0.019702911,0.002759695
165,9,8250,7.3069034,,-0.08227354,0.12613565,0.020561695,0.27825603
166,9,8300,7.2626204,,-0.064860195,0.09689179,-0.033237457,0.115953
167,9,8350,7.4295106,,0.014626409,0.11692229,-0.0037183762,0.09047684
168,9,8400,7.0383673,,-0.039011143,0.12918368,0.17943335,0.1987544
169,9,8450,7.488299,,-0.051247925,0.09845197,-0.095852375,0.16724667
170,9,8500,7.4651804,,-0.09071694,0.110034674,-0.042625427,0.11177698
171,9,8550,6.591732,,-0.08368671,0.09368572,-0.002357483,0.026236802
172,9,8600,7.344123,,-0.06267383,0.09068784,-0.033267498,0.033668846
173,9,8650,7.4010296,,0.1052758,0.09533104,-0.034899235,0.10768321
174,9,8700,7.486626,,-0.07847142,0.13155201,-0.026022434,0.22443387
